entry_id,approved_traceability_category,source_of_classification,reviewer_basis,approval_status
phase1-116,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-117,traceability_false,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-124,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-128,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-142,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-161,traceability_false,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-166,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-169,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-182,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-185,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-198,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-204,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-207,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-209,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-217,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-246,exact_or_near_verbatim,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-252,exact_or_near_verbatim,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-274,traceability_false,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-276,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-281,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-285,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-295,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-298,exact_or_near_verbatim,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-307,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-310,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-311,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-312,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-314,traceability_false,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-316,exact_or_near_verbatim,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-321,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-326,exact_or_near_verbatim,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-362,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-366,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-375,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-378,materially_unsupported_or_altered,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-380,exact_or_near_verbatim,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-382,traceability_false,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-396,traceability_false,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-405,substantively_faithful_paraphrase,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
phase1-407,exact_or_near_verbatim,outputs\framework_mapping\run_20260727_131920_audit_E_human_approval_check\AUDIT_E_TRACEABILITY_METRIC_CHECK.csv,"Single-reviewer human classification from source passages, traceability_ok field, and adjudication rationales (human-approval gate)",human_approved_2026-07-27
