entry_id,hearing_date,decision,evidence,source_quote,traceability_ok,review_flags,candidate_statement_type,top_3_JEE_candidates,JEE_similarity_values,top_3_JEE_definitions,proposed_primary_JEE_area,proposed_secondary_JEE_area,JEE_mapping_status,JEE_primary_similarity,JEE_secondary_similarity,JEE_inclusion_rule,JEE_exclusion_rules_considered,JEE_evidence_excerpt,JEE_ambiguous,JEE_all_candidates_rejected,top_3_DQ_candidates,DQ_similarity_values,top_3_DQ_definitions,proposed_primary_DQ_element,proposed_secondary_DQ_element,DQ_mapping_status,DQ_primary_similarity,DQ_secondary_similarity,DQ_evidence_excerpt,DQ_observable_indicator,DQ_exclusion_rules_considered,DQ_ambiguity_notes,ambiguity_notes,representation,human_review_required,human_candidate_statement_type,human_JEE_decision,human_primary_JEE,human_secondary_JEE,human_JEE_evidence,human_JEE_confidence,human_JEE_rationale,human_DQ_decision,human_primary_DQ,human_secondary_DQ,human_DQ_evidence,human_DQ_confidence,human_DQ_rationale,human_policy_vs_inquiry,human_overall_rationale,reviewer_name,review_date,review_status,deferred_flag,completed_at,last_touched_at,session_id
phase1-053,2023-11-30,A COBR meeting was held on 2 March.,The witness confirmed that the COBR meeting took place on the specified date.,"In the end, we had the COBR on the Monday, which I think was 2 March.",True,[],other_candidate,P3:0.2272; R2:0.2229; CE:0.2107,0.2272; 0.2229; 0.2107,"P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.2272]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A || R2 (Linking public health and security authorities) [0.2229]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between || CE (Chemical events) [0.2107]: Timely detection of and effective response to potential chemical risks and/or events in collaboration with other sectors responsible for chemical safety, indust",,,no_supported_mapping,,,,P3:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; CE:unlikely_area_without_textual_inclusion_support,A COBR meeting was held on 2 March.,False,True,commitment_to_follow_through:0.2595; useful_information:0.2139; sound_reasoning:0.1738,0.2595; 0.2139; 0.1738,"commitment_to_follow_through (Commitment to follow through) [0.2595]: Evidence of intent or mechanism to implement or act on the chosen course. || useful_information (Useful information) [0.2139]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || sound_reasoning (Sound reasoning) [0.1738]: Linking alternatives, information and values to justify why a course was preferred.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,evidence_or_information_statement,no_mapping,,,,high,The passage only confirms that a COBR meeting occurred and does not provide evidence of a specific JEE coordination or emergency-management capacity.,insufficient_evidence,,,,high,"The passage reports that a meeting took place but does not show observable evidence of framing, information use, alternatives, values, reasoning or implementation commitment.",policy_content,This traceable passage records the speaker's recollection that a COBR meeting occurred on a Monday believed to be 2 March. It is an information statement; the excerpt does not establish a specific JEE capacity or Decision Quality element.,AL,2026-07-26,complete,,2026-07-26T18:28:57.553083+00:00,2026-07-26T18:28:57.553083+00:00,270579610487
phase1-378,2024-05-23,A firm recommendation should be made regarding the structure for managing national civil emergencies.,A firm recommendation wouldn't be amiss.,A firm recommendation wouldn't be amiss.,True,[],recommendation,R1:0.3942; RE:0.3618; P3:0.3544,0.3942; 0.3618; 0.3544,"R1 (Health emergency management) [0.3942]: Multisectoral actors at national intermediate and primary public health response levels are well coordinated and have a common understanding of the priority ris || RE (Radiation emergencies) [0.3618]: Timely detection and effective response to potential radiological emergencies and nuclear accidents in a cross-sectoral coordinated manner. || P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.3544]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A",RE,P3,ambiguous_substantive,0.3618,0.3544,inclusion cue token overlap: ['emergencies'],R1:retrieval_neighbour_without_inclusion_support,A firm recommendation should be made regarding the structure for managing national civil emergencies.,True,False,commitment_to_follow_through:0.3184; useful_information:0.2965; helpful_frame:0.2770,0.3184; 0.2965; 0.2770,"commitment_to_follow_through (Commitment to follow through) [0.3184]: Evidence of intent or mechanism to implement or act on the chosen course. || useful_information (Useful information) [0.2965]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || helpful_frame (Helpful frame) [0.2770]: Clarifying what is being decided and what is not, including purpose, scope and perspective (Decision Education Foundation).",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,Low margin / weak cue overlap,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,recommendation,insufficient_evidence,,,,high,The source merely states that a firm recommendation would be appropriate and does not identify its subject or any JEE capacity.,insufficient_evidence,,,,high,"The passage states that a recommendation should be made but does not define the proposed structure, explain the reasoning, identify alternatives or show commitment to implementation.",policy_content,"This traceable passage recommends that a firm but unspecified recommendation be made. Because the subject and proposed structure are absent from the displayed source, there is insufficient evidence for JEE or Decision Quality mapping.",AL,2026-07-26,complete,,2026-07-26T18:35:51.943817+00:00,2026-07-26T18:35:51.943817+00:00,55638939f2b5
phase1-166,2023-12-11,The Treasury agreed to depart from the usual process and put into place a flexible spending control envelope for the Department of Health and Social Care (DHSC) to spend on PPE contracts.,The Treasury had agreed to depart from the usual process and put into place a flexible spending control envelope.,the Treasury had agreed to depart from the usual process and put into place a flexible spending control envelope.,True,[],enacted_or_authorised_decision,P2:0.3369; R1:0.2881; P1:0.2848,0.3369; 0.2881; 0.2848,P2 (Financing) [0.3369]: Financial resources are available in all relevant sectors and public financial management systems enable IHR implementation including core capacity development  || R1 (Health emergency management) [0.2881]: Multisectoral actors at national intermediate and primary public health response levels are well coordinated and have a common understanding of the priority ris || P1 (Legal instruments) [0.2848]: Legal instruments are in place in all relevant sectors to support IHR implementation including core capacity development and maintenance.,,,no_supported_mapping,,,,P2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R1:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P1:no_inclusion_cue_overlap_and_moderate_or_low_similarity,The Treasury agreed to depart from the usual process and put into place a flexible spending control envelope for the Department of Health and Social Care (DHSC) to spend on PPE contracts.,False,True,clear_values:0.2728; useful_information:0.2581; commitment_to_follow_through:0.2553,0.2728; 0.2581; 0.2553,"clear_values (Clear values) [0.2728]: Stated preferences, priorities or trade-offs that identify what mattered in the choice. || useful_information (Useful information) [0.2581]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || commitment_to_follow_through (Commitment to follow through) [0.2553]: Evidence of intent or mechanism to implement or act on the chosen course.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,enacted_or_authorised_decision,insufficient_evidence,,,,high,"The source confirms that the Treasury created a flexible spending control envelope, but it does not identify the recipient, purpose or public-health capacity financed, so a specific JEE area cannot be determined.",replace,commitment_to_follow_through,,the Treasury had agreed to depart from the usual process and put into place a flexible spending control envelope.,high,"The passage records an authorised departure from the usual process and establishment of a concrete spending-control mechanism, providing direct evidence of follow-through.",policy_content,"This traceable passage records an authorised Treasury decision to depart from the usual process and establish a flexible spending control envelope. It demonstrates commitment to follow through, but the displayed source does not identify DHSC, PPE contracts or a specific JEE financing capacity.",AL,2026-07-26,complete,,2026-07-26T18:39:26.603438+00:00,2026-07-26T18:39:26.603438+00:00,55638939f2b5
phase1-198,2023-12-11,A £500 payment was introduced to support people to self-isolate.,"The scheme was introduced in September, it provided a £500 payment, and it was introduced as a result of those deliberations in government.","Ultimately a scheme was introduced. It was introduced in September, it provided a £500 payment, and it was introduced as a result of those deliberations in government.",True,[],other_candidate,R4:0.2611; P2:0.2590; R3:0.2539,0.2611; 0.2590; 0.2539,"R4 (Infection prevention and control) [0.2611]: Prevent HCAIs and emergence and spread of AMR. || P2 (Financing) [0.2590]: Financial resources are available in all relevant sectors and public financial management systems enable IHR implementation including core capacity development  || R3 (Health services provision) [0.2539]: Resilient health systems that are capable of delivering emergency related clinical care, and optimal utilization of health services while ensuring continuity of",,,no_supported_mapping,,,,R4:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R3:no_inclusion_cue_overlap_and_moderate_or_low_similarity,A £500 payment was introduced to support people to self-isolate.,False,True,commitment_to_follow_through:0.2149; useful_information:0.2044; clear_values:0.1996,0.2149; 0.2044; 0.1996,"commitment_to_follow_through (Commitment to follow through) [0.2149]: Evidence of intent or mechanism to implement or act on the chosen course. || useful_information (Useful information) [0.2044]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || clear_values (Clear values) [0.1996]: Stated preferences, priorities or trade-offs that identify what mattered in the choice.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,implementation_statement,insufficient_evidence,,,,high,"The passage confirms that an unspecified scheme providing a £500 payment was introduced, but it does not state the scheme's purpose or identify a JEE capacity.",replace,commitment_to_follow_through,,"Ultimately a scheme was introduced. It was introduced in September, it provided a £500 payment, and it was introduced as a result of those deliberations in government.",high,"The passage shows commitment to follow through because the scheme was introduced, given an implementation month and supported by a specified payment mechanism.",policy_content,"This traceable passage records implementation of an unspecified £500 payment scheme in September following government deliberations. It clearly shows commitment to follow through, but the source does not state that the scheme supported self-isolation or identify a specific JEE capacity.",AL,2026-07-26,complete,,2026-07-26T18:42:18.093267+00:00,2026-07-26T18:42:18.093267+00:00,55638939f2b5
phase1-326,2023-12-14,Pubs and restaurants were to re-open on 4 July 2020.,The Prime Minister announced a timetable for the easing of NPIs imposed in England.,"Under that roadmap, which was the subject of detailed scientific and public health advice, pubs and restaurants were to re-open on 4 July 2020.",True,[],other_candidate,R4:0.3165; P6:0.2996; P4:0.2978,0.3165; 0.2996; 0.2978,"R4 (Infection prevention and control) [0.3165]: Prevent HCAIs and emergence and spread of AMR. || P6 (Food safety) [0.2996]: Timely detection and effective response of potential food-related events in collaboration with other sectors responsible for food safety. || P4 (Antimicrobial resistance (AMR)) [0.2978]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi",,,no_supported_mapping,,,,R4:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P6:unlikely_area_without_textual_inclusion_support; P4:unlikely_area_without_textual_inclusion_support,Pubs and restaurants were to re-open on 4 July 2020.,False,True,useful_information:0.2193; clear_values:0.1582; commitment_to_follow_through:0.1549,0.2193; 0.1582; 0.1549,"useful_information (Useful information) [0.2193]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || clear_values (Clear values) [0.1582]: Stated preferences, priorities or trade-offs that identify what mattered in the choice. || commitment_to_follow_through (Commitment to follow through) [0.1549]: Evidence of intent or mechanism to implement or act on the chosen course.",useful_information,,ambiguous,0.2193,,Pubs and restaurants were to re-open on 4 July 2020.,advice,recommendation≠commitment rule applied where relevant,Weak textual gate / moderate similarity,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,enacted_or_authorised_decision,no_mapping,,,,high,The passage records the easing of a domestic social-distancing measure but does not evidence a specific JEE preparedness or response capacity.,replace,commitment_to_follow_through,,pubs and restaurants were to re-open on 4 July 2020.,high,"The passage provides a specific implementation date for reopening pubs and restaurants, giving direct evidence of commitment to carry out the decision.",policy_content,This traceable passage records an authorised decision to reopen pubs and restaurants on a specified date. It demonstrates commitment to implementation but does not support a specific JEE capacity. The generic statement that the roadmap received scientific and public-health advice is not sufficient by itself to code useful_information.,AL,2026-07-26,complete,,2026-07-26T18:46:14.555573+00:00,2026-07-26T18:46:14.555573+00:00,55638939f2b5
phase1-375,2024-05-23,"Cabinet committees, specifically Covid-S and Covid-O, were given the status of full cabinet committees for decision-making.",The decisions were taken in Covid-S or Covid-O. Which they were entitled to do. They have the status of -- they had the status of full cabinet committees.,The decisions were taken in Covid-S or Covid-O. Which they were entitled to do. They have the status of -- they had the status of full cabinet committees,True,[],other_candidate,R1:0.3138; R2:0.3071; D2:0.3059,0.3138; 0.3071; 0.3059,"R1 (Health emergency management) [0.3138]: Multisectoral actors at national intermediate and primary public health response levels are well coordinated and have a common understanding of the priority ris || R2 (Linking public health and security authorities) [0.3071]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between || D2 (Surveillance) [0.3059]: (1) A functioning public health surveillance system capable of identifying potential events of concern for public health and health security. Enhanced national ",,,no_supported_mapping,,,,R1:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; D2:no_inclusion_cue_overlap_and_moderate_or_low_similarity,"Cabinet committees, specifically Covid-S and Covid-O, were given the status of full cabinet committees for decision-making.",False,True,commitment_to_follow_through:0.3312; useful_information:0.3208; helpful_frame:0.3098,0.3312; 0.3208; 0.3098,"commitment_to_follow_through (Commitment to follow through) [0.3312]: Evidence of intent or mechanism to implement or act on the chosen course. || useful_information (Useful information) [0.3208]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || helpful_frame (Helpful frame) [0.3098]: Clarifying what is being decided and what is not, including purpose, scope and perspective (Decision Education Foundation).",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,enacted_or_authorised_decision,no_mapping,,,,high,The passage describes Cabinet-level political decision-making authority but does not evidence a specific JEE public-health coordination or emergency-management capacity.,replace,commitment_to_follow_through,,The decisions were taken in Covid-S or Covid-O. Which they were entitled to do. They have the status of -- they had the status of full cabinet committees,high,The passage shows an authorised decision-making mechanism because Covid-S and Covid-O were given full Cabinet committee status and were empowered to take decisions.,policy_content,"This traceable entry records an authorised governance arrangement that empowered Covid-S and Covid-O to take decisions with full Cabinet committee status. It clearly shows commitment to follow through through the creation of a formal decision-making mechanism, but it does not evidence a specific JEE capacity.",AL,2026-07-26,complete,,2026-07-26T18:50:32.016761+00:00,2026-07-26T18:50:32.016761+00:00,55638939f2b5
phase1-380,2024-05-23,Continue to recommend Covid-S Covid-O style models.,I would continue to recommend Covid-S Covid-O style models.,I would continue to recommend Covid-S Covid-O style models.,True,[],recommendation,P5:0.2287; P4:0.2239; R4:0.2182,0.2287; 0.2239; 0.2182,"P5 (Zoonotic disease) [0.2287]: Functional animal health, public health systems and environmental health work individually and collaboratively together through documented mechanisms of coordin || P4 (Antimicrobial resistance (AMR)) [0.2239]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi || R4 (Infection prevention and control) [0.2182]: Prevent HCAIs and emergence and spread of AMR.",,,insufficient_evidence,,,,P5:unlikely_area_without_textual_inclusion_support; P4:unlikely_area_without_textual_inclusion_support; R4:no_inclusion_cue_overlap_and_moderate_or_low_similarity,Continue to recommend Covid-S Covid-O style models.,False,True,useful_information:0.2684; creative_alternatives:0.2347; clear_values:0.2075,0.2684; 0.2347; 0.2075,"useful_information (Useful information) [0.2684]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || creative_alternatives (Creative alternatives) [0.2347]: Evidence that more than one actionable option or course of action was generated or compared. || clear_values (Clear values) [0.2075]: Stated preferences, priorities or trade-offs that identify what mattered in the choice.",useful_information,,ambiguous,0.2684,,Continue to recommend Covid-S Covid-O style models.,model,recommendation≠commitment rule applied where relevant,Weak textual gate / moderate similarity,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,recommendation,insufficient_evidence,,,,high,"The passage refers only to Covid-S and Covid-O style models without describing their structure, functions or public-health capacity, so there is insufficient evidence to assign a JEE area.",insufficient_evidence,,,,high,"The passage states a recommendation but provides no observable evidence of framing, information use, alternatives, values, reasoning or commitment to implementation.",policy_content,"This traceable passage records a recommendation to continue using Covid-S and Covid-O style governance models. However, it is too brief to determine a JEE mapping or identify an observable Decision Quality element.",AL,2026-07-26,complete,,2026-07-26T18:53:07.665011+00:00,2026-07-26T18:53:07.665011+00:00,55638939f2b5
phase1-382,2024-05-23,Change in leadership around Covid was implemented.,"we actually had an external group give us recommendations about things that needed to change and how we should -- how I should go about setting up the taskforce. So... they recommended: a change in leadership around Covid, which I did through the Covid Taskforce leadership;","they recommended: a change in leadership around Covid, which I did through the Covid Taskforce leadership;",False,"[""possible_duplicate""]",implementation_statement,P3:0.3362; R1:0.3329; D3:0.3328,0.3362; 0.3329; 0.3328,"P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.3362]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A || R1 (Health emergency management) [0.3329]: Multisectoral actors at national intermediate and primary public health response levels are well coordinated and have a common understanding of the priority ris || D3 (Human resources) [0.3328]: Prevention, detection and response activities (including health promotion, occupational health safety and security, and appropriate care of those affected) cond",,,no_supported_mapping,,,,P3:no_inclusion_cue_overlap_and_moderate_or_low_similarity; R1:no_inclusion_cue_overlap_and_moderate_or_low_similarity; D3:no_inclusion_cue_overlap_and_moderate_or_low_similarity,Change in leadership around Covid was implemented.,False,True,commitment_to_follow_through:0.3236; useful_information:0.2939; helpful_frame:0.2778,0.3236; 0.2939; 0.2778,"commitment_to_follow_through (Commitment to follow through) [0.3236]: Evidence of intent or mechanism to implement or act on the chosen course. || useful_information (Useful information) [0.2939]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || helpful_frame (Helpful frame) [0.2778]: Clarifying what is being decided and what is not, including purpose, scope and perspective (Decision Education Foundation).",commitment_to_follow_through,,ambiguous,0.3236,,Change in leadership around Covid was implemented.,implemented,recommendation≠commitment rule applied where relevant,Weak textual gate / moderate similarity,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,implementation_statement,insufficient_evidence,,,,high,The passage confirms implementation of a Covid Taskforce leadership change but provides insufficient detail about the taskforce's health-emergency-management functions or wider response system to assign R1.,accept,commitment_to_follow_through,useful_information,"we actually had an external group give us recommendations about things that needed to change and how we should -- how I should go about setting up the taskforce. So... they recommended: a change in leadership around Covid, which I did through the Covid Taskforce leadership;",high,"The passage presents the content of an external recommendation—a change in Covid Taskforce leadership—and confirms that it was implemented. This directly supports commitment to follow through, with the specific external advice as secondary useful information.",policy_content,"This traceability-failed passage records implementation of a Covid Taskforce leadership change following a specific external recommendation. It demonstrates commitment to follow through and observable use of external advice, while the taskforce's specific JEE health-emergency-management function remains insufficiently specified.",AL,2026-07-26,complete,,2026-07-26T18:58:24.989940+00:00,2026-07-26T18:58:24.989940+00:00,55638939f2b5
phase1-048,2023-11-30,The Inquiry should propose a report after Modules 1 and 2.,"This central question of when do you lock down, what are the triggers, in what order should NPIs be brought in, how much data do you need.",I think it's very good that the Inquiry's proposing to do a report after Modules 1 and 2.,True,[],recommendation,D2:0.4253; R4:0.4161; R2:0.4082,0.4253; 0.4161; 0.4082,"D2 (Surveillance) [0.4253]: (1) A functioning public health surveillance system capable of identifying potential events of concern for public health and health security. Enhanced national  || R4 (Infection prevention and control) [0.4161]: Prevent HCAIs and emergence and spread of AMR. || R2 (Linking public health and security authorities) [0.4082]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between",,,no_supported_mapping,,,,D2:retrieval_neighbour_without_inclusion_support; R4:retrieval_neighbour_without_inclusion_support; R2:retrieval_neighbour_without_inclusion_support,The Inquiry should propose a report after Modules 1 and 2.,False,True,useful_information:0.3046; commitment_to_follow_through:0.2884; sound_reasoning:0.2732,0.3046; 0.2884; 0.2732,"useful_information (Useful information) [0.3046]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || commitment_to_follow_through (Commitment to follow through) [0.2884]: Evidence of intent or mechanism to implement or act on the chosen course. || sound_reasoning (Sound reasoning) [0.2732]: Linking alternatives, information and values to justify why a course was preferred.",useful_information,,ambiguous,0.3046,,The Inquiry should propose a report after Modules 1 and 2.,data,recommendation≠commitment rule applied where relevant,Weak textual gate / moderate similarity,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,procedural_or_inquiry,procedural_or_inquiry,,,,high,The passage concerns the Inquiry's reporting process rather than a public-health preparedness or response capacity.,procedural_or_inquiry,,,,high,The passage comments on the Inquiry's reporting process and does not provide observable evidence from a substantive policy decision process.,inquiry_procedure,"This traceable passage concerns the Inquiry's proposal to issue a report after Modules 1 and 2. It is inquiry procedure rather than substantive policy content, so no JEE or Decision Quality mapping is applied.",AL,2026-07-26,complete,,2026-07-26T19:01:08.347332+00:00,2026-07-26T19:01:08.347332+00:00,cb92c1fa4bc6
phase1-204,2023-12-11,The oral evidence for Module 2 has been completed.,"The oral evidence is, I have to repeat and emphasise, just one part of the process.","LADY HALLETT: That completes, as Mr Keith says, the oral evidence for Module 2.",True,[],procedural_or_inquiry,D2:0.2431; R2:0.2293; D1:0.2219,0.2431; 0.2293; 0.2219,"D2 (Surveillance) [0.2431]: (1) A functioning public health surveillance system capable of identifying potential events of concern for public health and health security. Enhanced national  || R2 (Linking public health and security authorities) [0.2293]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between || D1 (National laboratory system) [0.2219]: Effective use of a nationwide laboratory system, including all relevant sectors, capable of safely and accurately detecting and characterizing pathogens causing",,,procedural_or_inquiry,,,,procedural/inquiry pathway; substantive mapping withheld,The oral evidence for Module 2 has been completed.,False,True,commitment_to_follow_through:0.2753; sound_reasoning:0.2536; useful_information:0.2410,0.2753; 0.2536; 0.2410,"commitment_to_follow_through (Commitment to follow through) [0.2753]: Evidence of intent or mechanism to implement or act on the chosen course. || sound_reasoning (Sound reasoning) [0.2536]: Linking alternatives, information and values to justify why a course was preferred. || useful_information (Useful information) [0.2410]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage.",,,procedural_or_inquiry,,,The oral evidence for Module 2 has been completed.,,procedural/inquiry pathway,,Procedural/inquiry entry; cosine suggestions retained for audit only.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,procedural_or_inquiry,procedural_or_inquiry,,,,high,The passage records the completion of oral evidence in an Inquiry module and does not concern a public-health preparedness or response capacity.,procedural_or_inquiry,,,,high,The passage concerns the administration and progress of the Inquiry rather than a substantive decision-making process.,inquiry_procedure,"This traceable entry records the procedural completion of oral evidence for Module 2. It is Inquiry administration rather than substantive policy content, so no JEE or Decision Quality mapping applies.",AL,2026-07-27,complete,,2026-07-27T01:01:10.760415+00:00,2026-07-27T01:01:10.760415+00:00,f0d1dd0b5d41
phase1-207,2023-12-13,The provisional finding regarding the publication of individual excerpts from the transcribed notes is made final.,The provisional finding is made final and the ruling is directed to be published.,LADY HALLETT: I do. Thank you very much.,True,[],enacted_or_authorised_decision,R4:0.1416; P1:0.1389; P3:0.1319,0.1416; 0.1389; 0.1319,"R4 (Infection prevention and control) [0.1416]: Prevent HCAIs and emergence and spread of AMR. || P1 (Legal instruments) [0.1389]: Legal instruments are in place in all relevant sectors to support IHR implementation including core capacity development and maintenance. || P3 (IHR coordination, National IHR Focal Point functions and advocacy) [0.1319]: A mechanism for multisectoral/multidisciplinary coordination, communication and partnerships to detect, assess and respond to any public health event or risk. A",,,no_supported_mapping,,,,R4:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P1:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P3:no_inclusion_cue_overlap_and_moderate_or_low_similarity,The provisional finding regarding the publication of individual excerpts from the transcribed notes is made final.,False,True,sound_reasoning:0.2297; clear_values:0.2253; commitment_to_follow_through:0.2234,0.2297; 0.2253; 0.2234,"sound_reasoning (Sound reasoning) [0.2297]: Linking alternatives, information and values to justify why a course was preferred. || clear_values (Clear values) [0.2253]: Stated preferences, priorities or trade-offs that identify what mattered in the choice. || commitment_to_follow_through (Commitment to follow through) [0.2234]: Evidence of intent or mechanism to implement or act on the chosen course.",commitment_to_follow_through,,ambiguous,0.2234,,The provisional finding regarding the publication of individual excerpts from the transcribed notes is made final.,directed,recommendation≠commitment rule applied where relevant,Weak textual gate / moderate similarity,All top-3 retrieved JEE candidates rejected by inclusion/exclusion rules.,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,procedural_or_inquiry,procedural_or_inquiry,,,,high,The evidence records finalisation and publication of an Inquiry ruling. It concerns Inquiry procedure rather than a public-health preparedness or response capacity.,procedural_or_inquiry,,,,high,The action concerns finalisation and publication of an Inquiry ruling rather than a substantive public-policy decision process.,inquiry_procedure,"The evidence records finalisation and publication of an Inquiry ruling. It is an authorised procedural action within the Inquiry, so no JEE or substantive Decision Quality mapping applies. The displayed source does not identify the ruling as concerning individual excerpts from transcribed notes.",AL,2026-07-27,complete,,2026-07-27T01:03:03.138519+00:00,2026-07-27T01:03:03.138519+00:00,f0d1dd0b5d41
phase1-209,2023-12-13,A list of approximately 430 additional documents is proposed for publication.,The Inquiry legal team has prepared a list of some 430 additional documents which it is proposed should be published.,The Inquiry legal team has prepared a list of some 430 additional documents which it is proposed should be published.,True,"[""possible_duplicate""]",proposed_decision,P1:0.2515; R2:0.2155; P4:0.2122,0.2515; 0.2155; 0.2122,"P1 (Legal instruments) [0.2515]: Legal instruments are in place in all relevant sectors to support IHR implementation including core capacity development and maintenance. || R2 (Linking public health and security authorities) [0.2155]: Development and implementation of a MoU or other similar framework outlining roles, responsibilities and best practices for sharing relevant information between || P4 (Antimicrobial resistance (AMR)) [0.2122]: Decisive and comprehensive action to prevent the emergence and spread of AMR, which poses a substantial and evolving threat to disease control and health securi",P1,,ambiguous_substantive,0.2515,,inclusion cue token overlap: ['legal'],R2:no_inclusion_cue_overlap_and_moderate_or_low_similarity; P4:unlikely_area_without_textual_inclusion_support,A list of approximately 430 additional documents is proposed for publication.,True,False,useful_information:0.2861; creative_alternatives:0.2832; sound_reasoning:0.2431,0.2861; 0.2832; 0.2431,"useful_information (Useful information) [0.2861]: Relevant facts, data, modelling, advice or uncertainty characterisation used in the passage. || creative_alternatives (Creative alternatives) [0.2832]: Evidence that more than one actionable option or course of action was generated or compared. || sound_reasoning (Sound reasoning) [0.2431]: Linking alternatives, information and values to justify why a course was preferred.",,,insufficient_evidence,,,,,top retrieved DQ cards lacked explicit process evidence in text,Sparse DQ is acceptable; non-observation ≠ absence.,Low margin / weak cue overlap,journal_cache_decision_evidence_source_quote__framework_card_embeddings,True,procedural_or_inquiry,procedural_or_inquiry,,,,high,The passage concerns the Inquiry’s proposed publication of documents and does not evidence a public-health legal instrument or another JEE capacity.,procedural_or_inquiry,,,,high,The proposal concerns the administration and disclosure process of the Inquiry rather than a substantive public-policy decision.,inquiry_procedure,"This traceable passage records a proposal by the Inquiry legal team to publish approximately 430 additional documents. It is an Inquiry disclosure and publication matter, so no JEE or substantive Decision Quality mapping applies.",AL,2026-07-27,complete,,2026-07-27T01:04:33.154856+00:00,2026-07-27T01:04:33.154856+00:00,f0d1dd0b5d41
