entry_id,traceability_ok,audit_e_string_divergence_rule,decision_source_similarity,classification,human_rationale_flags_unsupported_content,source_quote_excerpt,decision_excerpt
phase1-003,True,True,0.060,substantively_faithful_paraphrase,False,The sense that I had was that the Civil Contingencies Secretariat was dealing wi...,The Cabinet Office should assume a broader coordinating role in crisis response....
phase1-020,True,True,0.503,materially_unsupported_or_altered,True,"As such, it is proposed that measures apply to the whole [United Kingdom]....",Measures were proposed to apply to the whole United Kingdom to achieve a 75 perc...
phase1-053,True,True,0.462,materially_unsupported_or_altered,True,"In the end, we had the COBR on the Monday, which I think was 2 March....",A COBR meeting was held on 2 March....
phase1-378,True,True,0.496,materially_unsupported_or_altered,True,A firm recommendation wouldn't be amiss....,A firm recommendation should be made regarding the structure for managing nation...
phase1-166,True,True,0.727,materially_unsupported_or_altered,True,the Treasury had agreed to depart from the usual process and put into place a fl...,The Treasury agreed to depart from the usual process and put into place a flexib...
phase1-198,True,True,0.355,materially_unsupported_or_altered,True,"Ultimately a scheme was introduced. It was introduced in September, it provided ...",A £500 payment was introduced to support people to self-isolate....
phase1-326,True,False,0.533,exact_or_near_verbatim,False,"Under that roadmap, which was the subject of detailed scientific and public heal...",Pubs and restaurants were to re-open on 4 July 2020....
phase1-375,True,True,0.514,substantively_faithful_paraphrase,False,The decisions were taken in Covid-S or Covid-O. Which they were entitled to do. ...,"Cabinet committees, specifically Covid-S and Covid-O, were given the status of f..."
phase1-380,True,False,0.927,exact_or_near_verbatim,False,I would continue to recommend Covid-S Covid-O style models....,Continue to recommend Covid-S Covid-O style models....
phase1-382,False,True,0.526,traceability_false,False,"they recommended: a change in leadership around Covid, which I did through the C...",Change in leadership around Covid was implemented....
phase1-048,True,True,0.694,substantively_faithful_paraphrase,False,I think it's very good that the Inquiry's proposing to do a report after Modules...,The Inquiry should propose a report after Modules 1 and 2....
phase1-204,True,True,0.481,substantively_faithful_paraphrase,False,"LADY HALLETT: That completes, as Mr Keith says, the oral evidence for Module 2....",The oral evidence for Module 2 has been completed....
phase1-207,True,True,0.234,materially_unsupported_or_altered,True,LADY HALLETT: I do. Thank you very much....,The provisional finding regarding the publication of individual excerpts from th...
phase1-209,True,True,0.608,substantively_faithful_paraphrase,False,The Inquiry legal team has prepared a list of some 430 additional documents whic...,A list of approximately 430 additional documents is proposed for publication....
phase1-366,True,True,0.502,substantively_faithful_paraphrase,False,"The Inquiry will also now start work on preparing a report for Module 2, conside...",The Inquiry will start work on preparing a report for Module 2....
phase1-079,True,True,0.013,substantively_faithful_paraphrase,False,"By April, when the -- when there was more -- when we had more time, and the care...",Action was taken to restrict staff movement in care homes....
phase1-106,True,True,0.331,materially_unsupported_or_altered,True,it is absolutely clear that this is an important part of the lessons learned exe...,Lessons learned exercise regarding PPE stockpile management....
phase1-182,True,True,0.689,substantively_faithful_paraphrase,False,"According to him, at a Covid-O meeting on 15 September 2020, it was agreed that ...",Regulations will be brought in to prohibit staff movement between care homes as ...
phase1-298,True,False,1.000,exact_or_near_verbatim,True,a stop order was placed on further procurement of FFP3 respirators from 30 June ...,A stop order was placed on further procurement of FFP3 respirators from 30 June ...
phase1-142,True,True,0.426,substantively_faithful_paraphrase,False,We set up the Ask for ANI scheme....,The Ask for ANI scheme was established to assist victims of domestic abuse....
phase1-281,True,True,0.089,substantively_faithful_paraphrase,False,We say that a parallel position to which no thought was given was equally necess...,An exemption should be created to permit friends or family to offer a person esc...
phase1-285,True,True,0.917,substantively_faithful_paraphrase,False,And preventing that abuse needs to be a government priority and not an afterthou...,Preventing domestic abuse needs to be a government priority and not an afterthou...
phase1-362,True,True,0.448,substantively_faithful_paraphrase,False,the government has published an ambitious UK Government Resilience Framework whi...,The government has published an ambitious UK Government Resilience Framework....
phase1-405,True,True,0.581,substantively_faithful_paraphrase,False,"So a National Situation Centre which is now a permanent thing, it's there along ...",A National Situation Centre has been created as a permanent structure....
phase1-090,True,True,0.660,materially_unsupported_or_altered,True,Did you also contribute to the decision that further work and the reports be ult...,Further work and reports were commissioned through Kemi Badenoch....
phase1-295,True,True,0.642,substantively_faithful_paraphrase,False,"My Lady, many more technical recommendations have been made in Mr Lloyd's witnes...",The LGA urges the adoption of many more technical recommendations made in Mr Llo...
phase1-316,True,False,0.818,exact_or_near_verbatim,False,"We say, my Lady, and we say it respectfully, the time for denial is over and thi...",The time for denial is over and this Inquiry should say so when spelling out wha...
phase1-082,True,True,0.393,substantively_faithful_paraphrase,False,"The hearing adjourned until 10 am on Friday, 1 December 2023...",The hearing will resume at 10 o'clock tomorrow....
phase1-112,True,True,0.173,substantively_faithful_paraphrase,False,"The next witness, so that people know if they wish to make any plans, will be Bo...",Boris Johnson will appear as the next witness....
phase1-113,True,True,0.673,substantively_faithful_paraphrase,False,"So it will be 10 o'clock next Wednesday, please....",The hearing will reconvene at 10 o'clock next Wednesday....
phase1-114,True,True,0.977,exact_or_near_verbatim,False,"The hearing adjourned until 10 am on Wednesday, 6 December 2023....","The hearing is adjourned until 10 am on Wednesday, 6 December 2023...."
phase1-117,False,True,0.495,traceability_false,False,"You declared in a handwritten message, a handwritten note on a box note given to...",The overriding message should be about tougher enforcement and bigger fines....
phase1-310,True,True,0.699,substantively_faithful_paraphrase,False,"The key guidance, as you will recall, was issued by the NPCC and the college in ...","The NPCC issued key guidance in March 2020, known as the four Es approach: engag..."
phase1-311,True,True,0.609,materially_unsupported_or_altered,True,"That approach, I would suggest, was inherently flexible and the message was simp...",Enforcement was established as the last resort after the first three Es had been...
phase1-312,True,True,0.372,materially_unsupported_or_altered,True,"As Martin Hewitt explained to you, compliance, not enforcement, was the object o...","The objective of the police response was compliance, not enforcement...."
phase1-185,True,True,0.761,materially_unsupported_or_altered,True,the proposals were drafted and then went out for consultation...,Proposals for the regulations were drafted and sent out for consultation....
phase1-407,True,False,0.871,exact_or_near_verbatim,True,you proposed that there is a gold SRO in overall co-ordination of the ten SROs....,There is a gold SRO in overall co-ordination of the ten SROs....
phase1-059,True,True,0.404,materially_unsupported_or_altered,True,"""We also need urgently to address the WHO criticisms of our approach.""...",We need to ramp up testing not stop testing....
phase1-169,True,True,0.539,materially_unsupported_or_altered,True,"The approval process was amended at great speed, very rapidly....",The approval process for PPE contracts was amended rapidly to ensure speed and e...
phase1-033,True,True,0.529,materially_unsupported_or_altered,True,We should already have published legal draft legislation -- published draft legi...,Legal draft legislation should be published and ready for future enactment....
phase1-274,False,True,0.686,traceability_false,True,they need the enforceability of their rights to be placed on a statutory footing...,Children's rights need to be placed on a statutory footing....
phase1-042,True,True,0.348,materially_unsupported_or_altered,True,"It was then replaced with the MIG system, which was better....",The MIG system was implemented to replace the previous decision-making process....
phase1-116,True,True,0.505,substantively_faithful_paraphrase,False,"Well, I remember the top whack fine was £10,000....","The top fine for non-compliance was set at £10,000...."
phase1-084,True,True,0.412,materially_unsupported_or_altered,True,I corralled the voices that I knew would support the -- what was needed in the p...,Voices in the health and social care system were corralled to support public hea...
phase1-128,True,True,0.332,substantively_faithful_paraphrase,False,I think what we really need to have is some proper quantified analysis of the be...,There should be a proper quantified analysis of the benefits of NPIs and the eco...
phase1-307,True,True,0.488,substantively_faithful_paraphrase,False,The system is under change: in 2024 and from then on there will be a way of taki...,"From 2024, self-identified ethnicity will be included in mortality data...."
