entry_id,record_category,original_human_adjudication_complete,original_reviewer,original_review_date,audit_d_flagged,audit_d_ai_recommendation,audit_d_human_review_action,audit_d_human_review_status,new_human_confirmation_in_audit_d,defensible_description
phase1-182,consistency_human_reviewed_corrected,True,AL,2026-07-27,True,edit_JEE,approve_ai_exact,HUMAN_CONFIRMED,yes_interactive_confirmation,Original manual human adjudication complete; Audit D interactive human confirmation of AI-proposed corrections
phase1-298,consistency_auto_clear,True,AL,2026-07-27,False,none_flagged_auto_clear,,,no,Original manual human adjudication complete (2026-07-26); Audit D consistency screening raised no flags; no Audit D re-review
phase1-142,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-281,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-285,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-362,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-405,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-090,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-295,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-316,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-082,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-112,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-113,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-114,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-117,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-310,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-311,consistency_human_reviewed_corrected,True,AL,2026-07-27,True,edit_multiple_fields,approve_ai_exact,HUMAN_CONFIRMED,yes_interactive_confirmation,Original manual human adjudication complete; Audit D interactive human confirmation of AI-proposed corrections
phase1-312,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-185,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-407,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-059,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-169,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-033,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-274,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-042,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-116,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-084,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-128,consistency_human_reviewed_keep,True,AL,2026-07-27,True,keep_all,ai_keep_all_unreviewed_interactively,AI_ASSISTED_KEEP_ALL,no_interactive_re_review,Original manual human adjudication retained; Audit D applied AI-assisted keep_all without interactive re-review
phase1-307,consistency_auto_clear,True,AL,2026-07-27,False,none_flagged_auto_clear,,,no,Original manual human adjudication complete (2026-07-26); Audit D consistency screening raised no flags; no Audit D re-review
