stage,repetition,configuration,excerpt_id,manual_decision_id,manual_decision_text,candidate_id,candidate_decision_text,candidate_quote,traceability_status,match_outcome,matching_basis
stage1,1,w5_o2,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c3,COBR decided to implement household isolation for 14 days and reduce contact advice for individuals over 70.,"COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,not_recovered,none
stage1,1,w5_o2,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c4,COBR decided to close schools from the 20th of March.,"On the 18th, COBR decided to close schools from the 20th.",True,recovered,mechanical_and_semantic
stage1,1,w5_o2,excerpt_001,,,c1,"COBR decided that there needed to be further, more stringent measures, including household isolation for 14 days and reduced contact advice for over 70s.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,unmatched_candidate,none
stage1,1,w5_o2,excerpt_001,,,c3,COBR decided to implement household isolation for 14 days and reduce contact advice for individuals over 70.,"COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,unmatched_candidate,none
stage1,1,w5_o2,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,recovered,mechanical_and_semantic
stage1,1,w5_o2,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,not_recovered,none
stage1,1,w5_o2,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,not_recovered,none
stage1,1,w5_o2,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,recovered,mechanical_and_semantic
stage1,1,w5_o3,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c1,"COBR decided that there needed to be further, more stringent measures.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,not_recovered,none
stage1,1,w5_o3,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c2,COBR decided to close schools from the 20th.,"On the 18th, COBR decided to close schools from the 20th, just in very general terms.",True,recovered,mechanical_and_semantic
stage1,1,w5_o3,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c3,COBR decided to implement household isolation for 14 days and reduce contact advice for individuals over 70.,"COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,not_recovered,none
stage1,1,w5_o3,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c4,COBR decided to close schools from the 20th of March.,"On the 18th, COBR decided to close schools from the 20th, just in very general terms.",True,recovered,mechanical_and_semantic
stage1,1,w5_o3,excerpt_001,,,c1,"COBR decided that there needed to be further, more stringent measures.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,unmatched_candidate,none
stage1,1,w5_o3,excerpt_001,,,c3,COBR decided to implement household isolation for 14 days and reduce contact advice for individuals over 70.,"COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,unmatched_candidate,none
stage1,1,w5_o3,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed upon.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,recovered,mechanical_and_semantic
stage1,1,w5_o3,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,not_recovered,none
stage1,1,w5_o3,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c3,"The committee agreed to an ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19, focusing particularly on ethnic minority communities.","At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,recovered,mechanical_and_semantic
stage1,1,w5_o3,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c4,The Prime Minister and CDL asked departments for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,not_recovered,none
stage1,1,w5_o3,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed upon.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,not_recovered,none
stage1,1,w5_o3,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,recovered,mechanical_and_semantic
stage1,1,w5_o3,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c3,"The committee agreed to an ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19, focusing particularly on ethnic minority communities.","At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,not_recovered,none
stage1,1,w5_o3,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c4,The Prime Minister and CDL asked departments for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,recovered,mechanical_and_semantic
stage1,1,w5_o3,excerpt_006,m1,A rapid review (12 May) and a full review (31 May) on ethnic minority disparities were commissioned through Public Health England.,c1,Further work and reports to be commissioned through Kemi Badenoch.,I was very glad when Kemi was tasked by the Prime Minister to lead and really get to the bottom of this.,True,not_recovered,none
stage1,1,w5_o3,excerpt_006,m2,Further work and reports on ethnic minority disparities were commissioned through Kemi Badenoch; the Prime Minister tasked her to lead this work.,c1,Further work and reports to be commissioned through Kemi Badenoch.,I was very glad when Kemi was tasked by the Prime Minister to lead and really get to the bottom of this.,True,recovered,mechanical_and_semantic
stage1,1,w5_o3,excerpt_006,m3,"On 19 March 2020, a decision was made to discharge untested hospital patients into care homes.",c1,Further work and reports to be commissioned through Kemi Badenoch.,I was very glad when Kemi was tasked by the Prime Minister to lead and really get to the bottom of this.,True,not_recovered,none
stage1,1,w7_o1,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c1,"COBR decided that there needed to be further, more stringent measures.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,not_recovered,none
stage1,1,w7_o1,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c2,COBR decided to close schools from the 20th.,"On the 18th, COBR decided to close schools from the 20th, just in very general terms.",True,recovered,mechanical_and_semantic
stage1,1,w7_o1,excerpt_001,,,c1,"COBR decided that there needed to be further, more stringent measures.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,unmatched_candidate,none
stage1,1,w7_o2,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c1,"COBR decided that there needed to be further, more stringent measures, including household isolation for 14 days and reduced contact advice for over 70s.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact?",True,not_recovered,none
stage1,1,w7_o2,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c2,COBR decided to close schools from the 20th.,"On the 18th, COBR decided to close schools from the 20th, just in very general terms.",True,recovered,mechanical_and_semantic
stage1,1,w7_o2,excerpt_001,,,c1,"COBR decided that there needed to be further, more stringent measures, including household isolation for 14 days and reduced contact advice for over 70s.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact?",True,unmatched_candidate,none
stage1,1,w7_o2,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed upon.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,recovered,mechanical_and_semantic
stage1,1,w7_o2,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,not_recovered,none
stage1,1,w7_o2,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c3,"The committee agreed to an ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19, focusing particularly on ethnic minority communities.","At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,recovered,mechanical_and_semantic
stage1,1,w7_o2,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c4,The Prime Minister and CDL asked departments for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,not_recovered,none
stage1,1,w7_o2,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed upon.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,not_recovered,none
stage1,1,w7_o2,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,recovered,mechanical_and_semantic
stage1,1,w7_o2,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c3,"The committee agreed to an ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19, focusing particularly on ethnic minority communities.","At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,not_recovered,none
stage1,1,w7_o2,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c4,The Prime Minister and CDL asked departments for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,recovered,mechanical_and_semantic
stage1,1,w7_o3,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c1,"COBR decided that there needed to be further, more stringent measures, including household isolation for 14 days and reduced contact advice for over 70s.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,not_recovered,none
stage1,1,w7_o3,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c2,COBR decided to close schools from the 20th.,"On the 18th, COBR decided to close schools from the 20th.",True,recovered,mechanical_and_semantic
stage1,1,w7_o3,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c3,COBR decided to close schools from the 20th.,"COBR decided to close schools from the 20th, just in very general terms.",True,recovered,mechanical_and_semantic
stage1,1,w7_o3,excerpt_001,,,c1,"COBR decided that there needed to be further, more stringent measures, including household isolation for 14 days and reduced contact advice for over 70s.","COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact.",True,unmatched_candidate,none
stage1,1,w7_o3,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed upon.,"""At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.""",False,recovered,mechanical_and_semantic
stage1,1,w7_o3,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"""The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.""",True,not_recovered,none
stage1,1,w7_o3,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed upon.,"""At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.""",False,not_recovered,none
stage1,1,w7_o3,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"""The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.""",True,recovered,mechanical_and_semantic
stage1,1,w9_o1,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,recovered,mechanical_and_semantic
stage1,1,w9_o1,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,not_recovered,none
stage1,1,w9_o1,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,not_recovered,none
stage1,1,w9_o1,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,recovered,mechanical_and_semantic
stage1,1,w9_o2,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed upon.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,recovered,mechanical_and_semantic
stage1,1,w9_o2,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,not_recovered,none
stage1,1,w9_o2,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed upon.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,not_recovered,none
stage1,1,w9_o2,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c2,Departments were asked for a more ambitious package to prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,recovered,mechanical_and_semantic
stage1,1,w9_o3,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c1,COBR decided to implement household isolation for 14 days and reduce contact advice for individuals over 70.,"COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact?",True,not_recovered,none
stage1,1,w9_o3,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c2,COBR decided to close schools from the 20th of March.,"On the 18th, COBR decided to close schools from the 20th, just in very general terms.",True,recovered,mechanical_and_semantic
stage1,1,w9_o3,excerpt_001,,,c1,COBR decided to implement household isolation for 14 days and reduce contact advice for individuals over 70.,"COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact?",True,unmatched_candidate,none
stage1,1,w11_o1,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c1,"COBR decided to implement further, more stringent measures including household isolation for 14 days and reduced contact advice for individuals over 70.","On 16 March, COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact?",True,not_recovered,none
stage1,1,w11_o1,excerpt_001,m1,"On 18 March 2020, COBR decided to close schools from 20 March.",c2,COBR decided to close schools from the 20th of March.,"On the 18th, COBR decided to close schools from the 20th, just in very general terms.",True,recovered,mechanical_and_semantic
stage1,1,w11_o1,excerpt_001,,,c1,"COBR decided to implement further, more stringent measures including household isolation for 14 days and reduced contact advice for individuals over 70.","On 16 March, COBR decided that there needed to be further, more stringent measures, and you will recall the household isolation for 14 days, reduced contact advice, over 70s particularly must ensure that they reduce contact?",True,unmatched_candidate,none
stage1,1,w11_o1,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c1,"The committee agreed to an ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19, focusing particularly on ethnic minority communities.","At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,recovered,mechanical_and_semantic
stage1,1,w11_o1,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c2,The Prime Minister and CDL asked departments for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,not_recovered,none
stage1,1,w11_o1,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c1,"The committee agreed to an ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19, focusing particularly on ethnic minority communities.","At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,not_recovered,none
stage1,1,w11_o1,excerpt_002,m2,The Prime Minister and CDL asked departments to develop a more ambitious package (on a slower timeline) to prevent disproportionate COVID-19 impacts on people with disabilities.,c2,The Prime Minister and CDL asked departments for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.,"The Prime Minister and CDL also asked departments, in slower time, for a more ambitious package that can prevent disproportionate impacts from COVID-19 for people with disabilities.",True,recovered,mechanical_and_semantic
stage1,1,w11_o2,excerpt_002,m1,"At the 29 October 2020 COVID-O meeting, the committee agreed to an ambitious package of measures to prevent transmission among disproportionately impacted groups, focusing on ethnic minority communities.",c1,An ambitious package of measures to prevent transmission to and within groups disproportionately impacted by COVID-19 was agreed upon.,"At the 29 October meeting of COVID-O, the committee agreed to an ambitious package of measures to prevent transmission to and within groups that have been disproportionately impacted by COVID-19, focusing in particular on ethnic minority communities.",False,recovered,mechanical_and_semantic
